t,alfa,beta,freq
0.30002267573696145,0.05,-0.08030303030303029,392.1496248528582
0.3000453514739229,0.05,-0.08030303030303029,392.1496248528582
0.3000680272108844,0.05,-0.08030303030303029,392.1496248528582
0.3000907029478458,0.05,-0.08030303030303029,392.1496248528582
0.30011337868480725,0.05,-0.08030303030303029,392.1496248528582
0.3001360544217687,0.05,-0.08030303030303029,392.1496248528582
0.3001587301587302,0.05,-0.08030303030303029,392.1496248528582
0.3001814058956916,0.05,-0.08030303030303029,392.1496248528582
0.30020408163265305,0.05,-0.08030303030303029,392.1496248528582
0.3002267573696145,0.05,-0.08030303030303029,392.1496248528582
0.300249433106576,0.05,-0.08030303030303029,392.1496248528582
0.3002721088435374,0.05,-0.08030303030303029,392.1496248528582
0.30029478458049885,0.05,-0.08030303030303029,392.1496248528582
0.3003174603174603,0.05,-0.08030303030303029,392.1496248528582
0.3003401360544218,0.05,-0.08030303030303029,392.1496248528582
0.30036281179138324,0.05,-0.08030303030303029,392.1496248528582
0.30038548752834465,0.05,-0.08030303030303029,392.1496248528582
0.3004081632653061,0.05,-0.08030303030303029,392.1496248528582
0.3004308390022676,0.05,-0.08030303030303029,392.1496248528582
0.30045351473922904,0.05,-0.08030303030303029,392.1496248528582
0.30047619047619045,0.05,-0.08030303030303029,392.1496248528582
0.3004988662131519,0.05,-0.08030303030303029,392.1496248528582
0.3005215419501134,0.05,-0.08030303030303029,392.1496248528582
0.30054421768707484,0.05,-0.08030303030303029,392.1496248528582
0.3005668934240363,0.05,-0.08030303030303029,392.1496248528582
0.3005895691609977,0.05,-0.08030303030303029,392.1496248528582
0.3006122448979592,0.05,-0.08030303030303029,392.1496248528582
0.30063492063492064,0.05,-0.08030303030303029,392.1496248528582
0.3006575963718821,0.05,-0.08030303030303029,392.1496248528582
0.3006802721088435,0.05,-0.08030303030303029,392.1496248528582
0.300702947845805,0.05,-0.08030303030303029,392.1496248528582
0.30072562358276644,0.05,-0.08030303030303029,392.1496248528582
0.3007482993197279,0.05,-0.08030303030303029,392.1496248528582
0.3007709750566893,0.05,-0.08030303030303029,392.1496248528582
0.3007936507936508,0.05,-0.08030303030303029,392.1496248528582
0.30081632653061224,0.05,-0.08030303030303029,392.1496248528582
0.3008390022675737,0.05,-0.08030303030303029,392.1496248528582
0.3008616780045352,0.05,-0.08030303030303029,392.1496248528582
0.3008843537414966,0.05,-0.08030303030303029,392.1496248528582
0.30090702947845804,0.05,-0.08030303030303029,392.1496248528582
0.3009297052154195,0.05,-0.08030303030303029,392.1496248528582
0.30095238095238097,0.05,-0.08030303030303029,392.1496248528582
0.3009750566893424,0.05,-0.08030303030303029,392.1496248528582
0.30099773242630384,0.05,-0.08030303030303029,392.1496248528582
0.3010204081632653,0.05,-0.08030303030303029,392.1496248528582
0.3010430839002268,0.05,-0.08030303030303029,392.1496248528582
0.30106575963718823,0.05,-0.08030303030303029,392.1496248528582
0.30108843537414964,0.05,-0.08030303030303029,392.1496248528582
0.3011111111111111,0.05,-0.08030303030303029,392.1496248528582
0.30113378684807257,0.05,-0.08030303030303029,392.1496248528582
0.30115646258503403,0.05,-0.08030303030303029,392.1496248528582
0.30117913832199544,0.05,-0.08030303030303029,392.1496248528582
0.3012018140589569,0.05,-0.08030303030303029,392.1496248528582
0.3012244897959184,0.05,-0.08030303030303029,392.1496248528582
0.30124716553287983,0.05,-0.08030303030303029,392.1496248528582
0.30126984126984124,0.05,-0.08030303030303029,392.1496248528582
0.3012925170068027,0.05,-0.08030303030303029,392.1496248528582
0.30131519274376417,0.05,-0.08030303030303029,392.1496248528582
0.30133786848072563,0.05,-0.08030303030303029,392.1496248528582
0.3013605442176871,0.05,-0.08030303030303029,392.1496248528582
0.3013832199546485,0.05,-0.08030303030303029,392.1496248528582
0.30140589569161,0.05,-0.08030303030303029,392.1496248528582
0.30142857142857143,0.05,-0.08030303030303029,392.1496248528582
0.3014512471655329,0.05,-0.08030303030303029,392.1496248528582
0.3014739229024943,0.05,-0.08030303030303029,392.1496248528582
0.30149659863945577,0.05,-0.08030303030303029,392.1496248528582
0.30151927437641723,0.05,-0.08030303030303029,392.1496248528582
0.3015419501133787,0.05,-0.08030303030303029,392.1496248528582
0.30156462585034016,0.05,-0.08030303030303029,392.1496248528582
0.3015873015873016,0.05,-0.08030303030303029,392.1496248528582
0.30160997732426303,0.05,-0.08030303030303029,392.1496248528582
0.3016326530612245,0.05,-0.08030303030303029,392.1496248528582
0.301655328798186,0.05,-0.08030303030303029,392.1496248528582
0.30167800453514737,0.05,-0.08030303030303029,392.1496248528582
0.30170068027210883,0.05,-0.08030303030303029,392.1496248528582
0.3017233560090703,0.05,-0.08030303030303029,392.1496248528582
0.30174603174603176,0.05,-0.08030303030303029,392.1496248528582
0.3017687074829932,0.05,-0.08030303030303029,392.1496248528582
0.30179138321995463,0.05,-0.08030303030303029,392.1496248528582
0.3018140589569161,0.05,-0.08030303030303029,392.1496248528582
0.3018367346938776,0.05,-0.08030303030303029,392.1496248528582
0.30185941043083897,0.05,-0.08030303030303029,392.1496248528582
0.30188208616780043,0.05,-0.08030303030303029,392.1496248528582
0.3019047619047619,0.05,-0.08030303030303029,392.1496248528582
0.30192743764172336,0.05,-0.08030303030303029,392.1496248528582
0.3019501133786848,0.05,-0.08030303030303029,392.1496248528582
0.30197278911564623,0.05,-0.08030303030303029,392.1496248528582
